Name,Categories / Tags,Address,City,State,Country,Zip,Phone,Fax,email,website,description,Image,Operating Hours
Sample Store 1,,5300 Sunset Boulevard,SC,Lexington,USA,29072,111111,222222,test@email.com,www.google.com,Test Description,,
Sample Store 2,,205 Buffalo Horn Creek,MT,Gallatin Gateway,USA,59730,,,,,,,
Sample Store 3,,76 SE 3rd Street,FL,Boca Raton,USA,33432,,,,,,,
Sample Store 4,,5300 Lee Street,IL,Skokie,USA,60077,,,,,,,
Sample Store 5,,205 Suburban Rd. #6,CA,San Luis Obispo,USA,93401,,,,,,,
Sample Store 6,,130 Greenfield Ave.#2,CA,San Anselmo,USA,94960,,,,,,,
Sample Store 7,,11161 W. Pico Blvd.,CA,West Los Angeles,USA,90064,,,,,,,
Sample Store 8,,4620 Alvarado Canyon Rd,CA,San Diego,USA,92120,,,,,,,
Sample Store 9,,143 S. Cedros Ave.,CA,Solana Beach,USA,92075,,,,,,,
Sample Store 10,,8910 100St,Fort St John,BC V1J 3X1,Canada,12345,250-785-8135,333-333-333,test@test.com,google.com,Store Description Here,,9am - 10pm
